replication_id,initial_trust,spillover_enabled,spillover_fraction,spillover_label,final_trust,final_cooperation
103,0.6,False,0.0,No Spillover,0.6,0.63
104,0.6,False,0.0,No Spillover,0.6,0.68
105,0.6,False,0.0,No Spillover,0.6,0.55
106,0.6,False,0.0,No Spillover,0.6,0.54
107,0.6,False,0.0,No Spillover,0.6,0.58
108,0.6,False,0.0,No Spillover,0.6,0.67
109,0.6,False,0.0,No Spillover,0.6,0.59
110,0.6,False,0.0,No Spillover,0.6,0.59
111,0.6,False,0.0,No Spillover,0.6,0.55
112,0.6,False,0.0,No Spillover,0.6,0.51
113,0.6,False,0.0,No Spillover,0.6,0.62
114,0.6,False,0.0,No Spillover,0.6,0.65
115,0.6,False,0.0,No Spillover,0.6,0.61
116,0.6,False,0.0,No Spillover,0.6,0.59
117,0.6,False,0.0,No Spillover,0.6,0.59
118,0.6,False,0.0,No Spillover,0.6,0.58
119,0.6,False,0.0,No Spillover,0.6,0.63
120,0.6,False,0.0,No Spillover,0.6,0.61
121,0.6,True,0.5,Partial Spillover,0.0,0.0
122,0.6,True,0.5,Partial Spillover,0.0,0.0
123,0.6,True,0.5,Partial Spillover,0.006,0.01
124,0.6,True,0.5,Partial Spillover,0.0,0.0
125,0.6,True,0.5,Partial Spillover,0.0,0.0
126,0.6,True,0.5,Partial Spillover,0.006,0.01
127,0.6,True,0.5,Partial Spillover,0.0,0.0
128,0.6,True,0.5,Partial Spillover,0.006,0.0
129,0.6,True,0.5,Partial Spillover,0.0,0.0
130,0.6,True,0.5,Partial Spillover,0.006,0.0
131,0.6,True,0.5,Partial Spillover,0.0,0.0
132,0.6,True,0.5,Partial Spillover,0.0,0.0
133,0.6,True,0.5,Partial Spillover,0.006,0.01
134,0.6,True,0.5,Partial Spillover,0.0,0.0
135,0.6,True,0.5,Partial Spillover,0.006,0.0
136,0.6,True,0.5,Partial Spillover,0.0,0.0
137,0.6,True,0.5,Partial Spillover,0.0,0.0
138,0.6,True,0.5,Partial Spillover,0.0,0.0
139,0.6,True,0.5,Partial Spillover,0.0,0.0
140,0.6,True,0.5,Partial Spillover,0.012,0.01
141,0.6,True,0.5,Partial Spillover,0.0,0.0
142,0.6,True,0.5,Partial Spillover,0.0,0.0
143,0.6,True,0.5,Partial Spillover,0.0,0.0
144,0.6,True,0.5,Partial Spillover,0.006,0.0
145,0.6,True,0.5,Partial Spillover,0.0,0.0
146,0.6,True,0.5,Partial Spillover,0.0,0.0
147,0.6,True,0.5,Partial Spillover,0.0,0.0
148,0.6,True,0.5,Partial Spillover,0.0,0.0
149,0.6,True,0.5,Partial Spillover,0.0,0.0
150,0.6,True,0.5,Partial Spillover,0.0,0.01
151,0.6,True,1.0,Full Spillover,0.0,0.0
152,0.6,True,1.0,Full Spillover,0.0,0.0
153,0.6,True,1.0,Full Spillover,0.0,0.0
154,0.6,True,1.0,Full Spillover,0.0,0.0
155,0.6,True,1.0,Full Spillover,0.0,0.0
156,0.6,True,1.0,Full Spillover,0.0,0.0
157,0.6,True,1.0,Full Spillover,0.0,0.0
158,0.6,True,1.0,Full Spillover,0.0,0.0
159,0.6,True,1.0,Full Spillover,0.0,0.0
160,0.6,True,1.0,Full Spillover,0.0,0.0
161,0.6,True,1.0,Full Spillover,0.0,0.0
162,0.6,True,1.0,Full Spillover,0.0,0.0
163,0.6,True,1.0,Full Spillover,0.0,0.0
164,0.6,True,1.0,Full Spillover,0.0,0.0
165,0.6,True,1.0,Full Spillover,0.0,0.0
166,0.6,True,1.0,Full Spillover,0.0,0.0
167,0.6,True,1.0,Full Spillover,0.0,0.0
168,0.6,True,1.0,Full Spillover,0.0,0.0
169,0.6,True,1.0,Full Spillover,0.0,0.0
170,0.6,True,1.0,Full Spillover,0.0,0.0
171,0.6,True,1.0,Full Spillover,0.0,0.0
172,0.6,True,1.0,Full Spillover,0.0,0.0
173,0.6,True,1.0,Full Spillover,0.0,0.0
174,0.6,True,1.0,Full Spillover,0.0,0.0
175,0.6,True,1.0,Full Spillover,0.0,0.0
176,0.6,True,1.0,Full Spillover,0.0,0.0
177,0.6,True,1.0,Full Spillover,0.0,0.0
178,0.6,True,1.0,Full Spillover,0.0,0.0
179,0.6,True,1.0,Full Spillover,0.0,0.0
180,0.6,True,1.0,Full Spillover,0.0,0.0
181,0.9,False,0.0,No Spillover,0.9000000000000005,0.93
182,0.9,False,0.0,No Spillover,0.9000000000000005,0.9
183,0.9,False,0.0,No Spillover,0.9000000000000005,0.89
184,0.9,False,0.0,No Spillover,0.9000000000000005,0.89
185,0.9,False,0.0,No Spillover,0.9000000000000005,0.87
186,0.9,False,0.0,No Spillover,0.9000000000000005,0.94
187,0.9,False,0.0,No Spillover,0.9000000000000005,0.95
188,0.9,False,0.0,No Spillover,0.9000000000000005,0.88
189,0.9,False,0.0,No Spillover,0.9000000000000005,0.88
190,0.9,False,0.0,No Spillover,0.9000000000000005,0.91
191,0.9,False,0.0,No Spillover,0.9000000000000005,0.91
192,0.9,False,0.0,No Spillover,0.9000000000000005,0.88
193,0.9,False,0.0,No Spillover,0.9000000000000005,0.92
194,0.9,False,0.0,No Spillover,0.9000000000000005,0.86
195,0.9,False,0.0,No Spillover,0.9000000000000005,0.94
196,0.9,False,0.0,No Spillover,0.9000000000000005,0.92
197,0.9,False,0.0,No Spillover,0.9000000000000005,0.85
198,0.9,False,0.0,No Spillover,0.9000000000000005,0.86
199,0.9,False,0.0,No Spillover,0.9000000000000005,0.9
200,0.9,False,0.0,No Spillover,0.9000000000000005,0.9
201,0.9,False,0.0,No Spillover,0.9000000000000005,0.89
202,0.9,False,0.0,No Spillover,0.9000000000000005,0.85
203,0.9,False,0.0,No Spillover,0.9000000000000005,0.92
204,0.9,False,0.0,No Spillover,0.9000000000000005,0.9
205,0.9,False,0.0,No Spillover,0.9000000000000005,0.87
206,0.9,False,0.0,No Spillover,0.9000000000000005,0.92
207,0.9,False,0.0,No Spillover,0.9000000000000005,0.93
208,0.9,False,0.0,No Spillover,0.9000000000000005,0.9
209,0.9,False,0.0,No Spillover,0.9000000000000005,0.92
210,0.9,False,0.0,No Spillover,0.9000000000000005,0.87
211,0.9,True,0.5,Partial Spillover,0.0,0.0
212,0.9,True,0.5,Partial Spillover,0.018000000000000002,0.01
213,0.9,True,0.5,Partial Spillover,0.0,0.0
214,0.9,True,0.5,Partial Spillover,0.0,0.0
215,0.9,True,0.5,Partial Spillover,0.0,0.0
216,0.9,True,0.5,Partial Spillover,0.0,0.0
217,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.01
218,0.9,True,0.5,Partial Spillover,0.0,0.0
219,0.9,True,0.5,Partial Spillover,0.0,0.0
220,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.01
221,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.02
222,0.9,True,0.5,Partial Spillover,0.0,0.0
223,0.9,True,0.5,Partial Spillover,0.0,0.0
224,0.9,True,0.5,Partial Spillover,0.0,0.0
225,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.0
226,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.01
227,0.9,True,0.5,Partial Spillover,0.0,0.0
228,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.01
229,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.01
230,0.9,True,0.5,Partial Spillover,0.009000000000000001,0.01
